From,To,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO
01-10-2018 00:00,01-10-2018 00:15,24.8,984.9,123,56,87,1.2,95.8,0.2,4.3,39.2,21.6,78.6,112.2,123.8,4.9,24.5,0.5
01-10-2018 00:15,01-10-2018 00:30,24.5,984.9,123,56,89.1,1.6,38.1,0.4,4.6,42,21.4,89.1,110.4,130.7,3.5,24.6,0.5
01-10-2018 00:30,01-10-2018 00:45,24.1,984.7,128,75,90.8,1.1,127.3,0.2,4.8,46.7,19.2,75.7,100.1,114.8,3.5,23,0.5
01-10-2018 00:45,01-10-2018 01:00,24,984.6,128,75,91.2,1.1,148.5,0.2,5.1,69.5,28.8,72.8,104.6,112.9,None,22.2,0.5
01-10-2018 01:00,01-10-2018 01:15,24.1,984.5,128,75,90.4,1.2,69,0.2,5.3,89.7,28,71.8,104.2,114.3,None,21.9,0.5
01-10-2018 01:15,01-10-2018 01:30,24.2,984.2,128,75,89.8,1.1,131.9,0.2,5.2,85,29.5,40.1,89.8,79.5,None,21.6,0.5
01-10-2018 01:30,01-10-2018 01:45,24.1,984.2,111,57,90.4,1.2,119.3,0.2,4.9,70.4,21.1,33.9,98.9,80.4,6.9,21.9,0.5
01-10-2018 01:45,01-10-2018 02:00,23.8,984,111,57,92,0.9,165.7,0.4,4.4,62,None,None,None,None,6,None,None
01-10-2018 02:00,01-10-2018 02:15,23.6,984,111,57,93.2,1.4,72.1,0.2,4.3,96.9,None,None,None,None,5.4,None,None
01-10-2018 02:15,01-10-2018 02:30,23.4,983.9,111,57,94.3,1.1,137.1,0.3,4.2,102.8,None,None,None,None,5.7,None,None
01-10-2018 02:30,01-10-2018 02:45,23.4,983.9,100,47,94.7,0.9,164.7,0.5,4.1,75.1,18.8,4.8,67.2,39.7,6.2,18.1,0.5
01-10-2018 02:45,01-10-2018 03:00,23.7,984,100,47,93.4,0.8,171.1,0.6,4,55.8,17.6,4.2,60.2,35.4,5.7,17.1,0.5
01-10-2018 03:00,01-10-2018 03:15,23.9,984,100,47,92.1,0.8,171.5,0.6,4.3,44.4,18.8,5,61.8,36.9,5.8,18.4,0.5
01-10-2018 03:15,01-10-2018 03:30,24,983.9,100,47,92.1,0.8,178.8,0.7,5.7,47.6,20,5.2,59.8,36.1,6.2,19.5,0.5
01-10-2018 03:30,01-10-2018 03:45,24.3,983.9,149,73,90,0.7,189.5,0.6,6.8,50.4,20.8,4.6,56.2,33.6,7.1,None,None
01-10-2018 03:45,01-10-2018 04:00,24.4,983.9,149,73,89,0.7,183.1,0.9,7.3,49.1,20.8,4,50.8,30.2,10.2,18.3,0.4
01-10-2018 04:00,01-10-2018 04:15,24.6,983.8,149,73,87.8,0.6,186.6,1,7,44.5,20.7,2.3,45.9,26.3,13.2,16.2,0.4
01-10-2018 04:15,01-10-2018 04:30,24.6,983.9,149,73,87.6,0.8,183.3,1,6.2,39.5,22.3,1.5,37.3,21.1,15.9,15.6,0.4
01-10-2018 04:30,01-10-2018 04:45,24.4,984,136,59,87.8,0.7,178.4,0.9,5.1,34.8,23.3,1,36,20,17.8,15,0.3
01-10-2018 04:45,01-10-2018 05:00,24.2,984.1,136,59,88.9,0.8,180,0.9,4.3,28.8,22.7,0.8,37.4,20.6,15.4,14.7,0.3
01-10-2018 05:00,01-10-2018 05:15,24,984.1,136,59,89.3,0.8,181.7,0.5,3.9,25.5,22.1,None,43.7,22.9,14.3,14.3,0.3
01-10-2018 05:15,01-10-2018 05:30,23.9,984.2,136,59,89.4,0.8,176.7,0.8,3.8,25.3,21.5,0.1,46.6,24.9,12.1,14.2,0.3
01-10-2018 05:30,01-10-2018 05:45,23.9,984.4,110,53,89.2,0.8,176,0.8,3.8,24.6,21,0.9,49.7,27.2,11,14.2,0.3
01-10-2018 05:45,01-10-2018 06:00,23.9,984.7,110,53,89.9,2.5,164.9,0.6,3.8,25.4,20.4,1,51.5,28.2,10.1,14.1,0.3
01-10-2018 06:00,01-10-2018 06:15,23.7,985,110,53,91.2,9.5,161.8,0.3,3.7,27.2,20.9,2.4,47.8,27.4,10.1,14.2,0.2
01-10-2018 06:15,01-10-2018 06:30,23.7,985.2,110,53,92.3,25.8,52.3,0.1,3.8,28.5,21,2.5,45.9,26.5,8.8,13.5,0.2
01-10-2018 06:30,01-10-2018 06:45,24.1,985.4,128,52,90.5,53.2,132.8,0.1,3.9,30.4,21.6,11.1,50.9,36.4,7.8,13.4,0.2
01-10-2018 06:45,01-10-2018 07:00,25.3,985.6,128,52,84.9,87.8,150.3,0.3,4,33.1,23.3,71.2,89.4,105.1,6.2,13.7,0.2
01-10-2018 07:00,01-10-2018 07:15,26.5,985.7,128,52,76.5,124.8,180.1,0.6,4.2,37.7,25.1,55.2,103.1,100.1,6.5,15.1,0.2
01-10-2018 07:15,01-10-2018 07:30,27.3,985.9,128,52,72.3,156.8,172.4,0.6,5.1,46.5,21.7,40.9,97.4,85.4,8,16.8,0.3
01-10-2018 07:30,01-10-2018 07:45,28.1,986.1,190,70,68.9,201.8,157,0.5,4.9,46.9,20.7,28.2,94.2,73.3,10.6,19,0.3
01-10-2018 07:45,01-10-2018 08:00,28.6,986.3,190,70,67.9,242.8,153.2,0.3,4.3,38.5,19.8,16.7,86.1,59.4,17.1,21.2,0.3
01-10-2018 08:00,01-10-2018 08:15,29.7,986.5,190,70,64,279.9,185.6,0.3,3.8,26.6,21.3,15,77.9,53.6,20.1,22.6,0.3
01-10-2018 08:15,01-10-2018 08:30,30.6,986.6,190,70,59.8,218.5,131.9,0.3,4,23.6,20.9,18.5,80.9,58,21.2,24.1,0.3
01-10-2018 08:30,01-10-2018 08:45,30.8,986.7,179,68,56.8,354.1,224.9,0.2,4.2,26.9,18,8.4,60.9,39.7,33,24.3,0.3
01-10-2018 08:45,01-10-2018 09:00,30.8,986.9,179,68,57.1,401.3,306.9,0.1,3.8,25.6,18.1,5.4,55.3,33.8,46,24.2,0.4
01-10-2018 09:00,01-10-2018 09:15,31.4,986.9,179,68,55.7,435.7,175.1,0.7,3.3,23,19.6,4.8,51.4,31.2,55.9,24.6,0.4
01-10-2018 09:15,01-10-2018 09:30,32.2,987,179,68,54,463.5,228.3,0.3,3,21.4,20.4,4.5,52.8,31.7,61.3,24.2,0.3
